Profile,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
https://dbkpop.com/idol/eunwoo-pristin,Eunwoo,Jeong Eunwoo,정은우,은우,1998-07-01,Hinapia,South Korea,,167,48,,Pristin V,Pristin,F,,,
,Chaelin,Lee Chaelin,이채린,채린,1999-10-20,FANATICS,South Korea,,162,47,,,,F,,,
,Yerin,Baek Yerin,백예린,백예린,1997-06-26,15&,South Korea,,165,0,Daejeon,,,F,,https:/www.instagram.com/yerinb,
,Red,Lee Heejin,이희진,빨강,1991-07-10,Pungdeng-E,South Korea,,163,0,Daegu,,,F,,,
,Harin,,,하린,1995-11-21,Lusty,South Korea,,160,43,Seoul,,,F,Sub Vocal,,
,Cheongeum,Jang Cheongeum,장청음,청음,1996-06-19,Ho1iday,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/chanmi-aoa/,Chanmi,Kim Chanmi,김찬미 ,찬미,1996-06-19,AoA,South Korea,,166,47,Gumi,,,F,,https:/www.instagram.com/chanmi_96a,
https://dbkpop.com/idol/subin-dal-shabet/,Subin,Park Subin,박수빈,수빈,1994-02-12,Dal Shabet,South Korea,,0,0,Gwangju,,,F,,,
https://dbkpop.com/idol/rena-pristin,Rena,Kang Yebin,강예빈,레나,1998-10-19,Hinapia,South Korea,,162,49,,Pristin V,Pristin,F,,,
,Dasom,Kim Dasom,김다솜 ,다솜,1993-05-06,SISTAR,South Korea,,0,0,,,,F,,https:/www.instagram.com/som0506,
,Narae,Park Narae,박나래,나래,1988-02-23,SPICA,South Korea,,0,0,Incheon,SPICA-S,SPICA,F,,,
,Zuny,Kim Joomi,김주미,주니,1994-12-08,Ladies' Code,South Korea,,0,0,Gwangju,,,F,,,
,Jiyul,Yang Jungyoon,양정윤,지율,1991-07-30,,South Korea,,0,0,Seoul,,Dal Shabet,F,,,
,Seohyun,Seo Joohyun,서주현 ,서현 ,1991-06-28,SNSD,South Korea,,168,48,Seoul,TTS,,F,,https:/www.instagram.com/seojuhyun_s,
https://dbkpop.com/idol/eunji-apink/,Eunji,Jung Eunji,정은지 ,은지 ,1993-08-18,Apink,South Korea,,163,0,Busan,,,F,,https:/www.instagram.com/artist_eunji,
,Hyejoo,Park Hyunjoo,박현주,혜주,1999-01-12,Highteen,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/jieun-secret/,Jieun,Song Jieun,송지은,지은,1990-05-05,SECRET,South Korea,,0,0,Seoul,,,F,,https:/www.instagram.com/secret_jieunssong,
,Yiyeon,Jung Dasol,정다솔,이연,1995-05-28,BVNDIT,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/wonyoung-izone/,Wonyoung,Jang Wonyoung,장원영,원영,2004-08-31,IVE,South Korea,,0,0,Seoul,,IZ*ONE,F,,,
,Yubin,Cho Yubin,조유빈,유빈,1999-10-09,,South Korea,,156,40,,,Pink Fantasy,F,,,
,Jiyoon,Jeon Jiyoon,전지윤,지윤,1990-10-15,4minute,South Korea,,165,0,Seoul,2YOON,,F,,https:/www.instagram.com/jenyerjiyoon,
,Jerrry,Ahn Sohyun,안소현,제리,1992-08-27,Tahiti,South Korea,,0,0,Seoul,,,F,,,
,NC.A,Im Soeun,임소은,앤씨아,1996-10-07,UNI.T,South Korea,,0,0,Osan,,,F,,,
,Boa,Kim Boah,김보아,보아,1987-01-14,KEEMBO,South Korea,,0,0,,,SPICA,F,,,
,Eunjo,Park Eunjo,박은조,은조,2002-03-07,Dreamnote,South Korea,,164,46,,,,F,,,
,Narsha,Park Hyojin,박효진,나르샤,1981-12-28,Brown Eyed Girls,South Korea,,0,0,,,,F,,https:/www.instagram.com/narsha81,
https://dbkpop.com/idol/chaeyoung/,Chaeyoung,Son Chaeyoung,손채영,채영,1999-04-23,Twice,South Korea,,159,0,Seoul,,,F,,,
https://dbkpop.com/idol/sunhwa-secret/,Sunhwa,Han Sunhwa,한선화,선화,1990-10-06,,South Korea,,0,0,Busan,,SECRET,F,,https:/www.instagram.com/shh_daily,
,Jueun,Jo Jueun,조주은,주은,2001-01-27,ARIAZ,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/jiheon-fromis-9/,Jiheon,Baek Jiheon,백지헌,지헌,2003-04-17,fromis_9,South Korea,,0,0,Jeolla,,,F,,,
,Ida,Ko Chaeyoung,고채영,아이다,2000-05-19,MAJORS,South Korea,,163,43,,,,F,,,
https://dbkpop.com/idol/serri-dal-shabet/,Serri,Park Miyeon,박미연,세리,1990-09-16,Dal Shabet,South Korea,,0,0,Seoul,,,F,,,
https://dbkpop.com/idol/yubin-wonder-girls/,Yubin,Kim Yubin,김유빈 ,유빈 ,1988-10-04,Wonder Girls,South Korea,,163,0,Gwangju,,,F,,,
,Minkyung,Kang Minkyung,강민경,민경,1990-08-03,Davichi,South Korea,,0,0,Goyang,,,F,,,
,Minju,Kang Minjoo,강민주,민주,2001-03-11,GWSN,South Korea,,0,0,,,,F,,,
,Vita,Kim Jimin,김지민,비타,2000-02-03,MAJORS,South Korea,,168,54,,,,F,,,
,Hyemi,Pyo Hyemi,표혜미,혜미,1991-04-03,9Muses,South Korea,,171,46,Gwangju,9MUSES A,,F,,https:/www.instagram.com/pyopyohyemi,
,Yuji,Son Yuji,손유지,유지,1998-11-25,3YE,South Korea,,160,45,,,Apple.B,F,,,
https://dbkpop.com/idol/nara-hello-venus,Nara,Kwon Nara,권나라,나라,1991-03-13,Hello Venus,South Korea,,172,52,Seongnam,,,F,,https:/www.instagram.com/hv_nara,
https://dbkpop.com/idol/zoa-weeekly/,Zoa,Cho Hyewon,조혜원,조아,2005-05-31,Weeekly,South Korea,,170,0,,,,F,"Rapper, Sub Vocal",,
https://dbkpop.com/idol/kokoro-cherry-bullet/,Kokoro,Kato Kokoro,카토 코코로,코코로,2000-11-01,,Japan,,0,0,,,Cherry Bullet,F,,,
https://dbkpop.com/idol/momo/,Momo,Hirai Momo,히라이 모모,모모,1996-11-09,Twice,Japan,,167,0,Kyoto,,,F,,,
https://dbkpop.com/idol/seolhyun-aoa/,Seolhyun,Kim Seolhyun,김설현 ,설현 ,1995-01-03,AoA,South Korea,,167,47,Bucheon,,,F,,https:/www.instagram.com/sh_9513,
,Yunji,Lee Yunji,이윤지,윤지,1992-04-04,Playback,South Korea,,0,0,,,,F,,,
,Hyunji,Kim Hyunji,김현지,현지,1992-06-30,Hashtag,South Korea,,165,0,,,,F,,,
,Dana,Jang Dana,장다나,다나,2003-12-25,HOT ISSUE,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/nayoung-pristin,Nayoung,Im Nayoung,임나영,나영,1995-12-18,Pristin,South Korea,,171,51,Chungcheongham,"I.O.I, Pristin V",,F,,,
,Viki,Kang Eunhye,강은혜,비키,1988-03-28,,South Korea,,0,0,Seoul,,Dal Shabet,F,,,
https://dbkpop.com/idol/yoon-stayc/,Yoon,Shim Jayoon,심자윤,윤,2004-04-14,STAYC,South Korea,,171,49,Gwangju,,,F,,,
https://dbkpop.com/idol/hani-exid/,Hani,Ahn Hee-yeon,안희연,하니,1992-05-01,EXID,South Korea,,168,0,Seoul,,,F,,https:/www.instagram.com/ahnhani_92,
https://dbkpop.com/idol/ningning-aespa/,Ningning,Ning Yizhuo,닝이쭤,닝닝,2002-10-23,aespa,China,,165,43,Harbin,,,F,,,
,Anne,Lee Seoyoung,이서영,앤,2000-10-17,GWSN,South Korea,,0,0,,,,F,,,
,Jamie,Park Jimin,박지민,박지민,1997-07-05,15&,South Korea,,160,0,Junggu,,,F,,https:/www.instagram.com/jiminxjamie,
,Dosie,Jang Eunseung,장은성 ,도시,2000-02-11,Purple Kiss,South Korea,,0,0,,,,F,,,
,Sojung,Lee Sojung,이소정,소정,1993-09-03,Ladies' Code,South Korea,,0,0,Wonju,,,F,,,
https://dbkpop.com/idol/hyosung-secret/,Hyosung,Jun Hyoseong,전효성,효성,1989-10-13,SECRET,South Korea,,0,0,Cheongju,,,F,,https:/www.instagram.com/secrettimehs,
https://dbkpop.com/idol/lua-weki-meki/,Lua,Kim Sookyung,김수경,루아,2000-10-06,Weki Meki,South Korea,,0,0,,,,F,,,
,Keumjo,Lee Keumjo,이금조,금조 ,1992-12-17,9Muses,South Korea,,167,48,Daegu,9MUSES A,,F,,https:/www.instagram.com/keumjo_1217,
,Sua,Choi Sooah,최수아,수아,2003-02-24,Pixy,South Korea,,162,44,,,,F,,,
https://dbkpop.com/idol/jimin-aoa/,Jimin,Shin Jimin,신지민 ,지민 ,1991-01-08,,South Korea,,160,43,Seoul,AOA BLACK,AoA,F,,https:/www.instagram.com/jiminbaby_18,
,Seokyoung,Kim Seokyung,김서경,서경,1999-04-16,GWSN,South Korea,,0,0,,,,F,,,
,Ailee,Lee Yejin,이예진,에일리,1989-05-30,,South Korea,USA,165,0,Denver,,,F,,https:/www.instagram.com/aileeonline,
,Jihyun,Nam Jihyun,남지현 ,지현,1990-01-09,4minute,South Korea,,167,0,Seoul,,,F,,https:/www.instagram.com/njh9019,
https://dbkpop.com/idol/sumin-stayc/,Sumin,Bae Sumin,배수민,수민,2001-03-13,STAYC,South Korea,,159,46,Pohang,,,F,,,
https://dbkpop.com/idol/youngji/,Youngji,Hur Youngji,허영지,영지,1994-08-30,,South Korea,,0,0,Goyang,,KARA,F,,,
,Miso,Park Miso,박미소,미소,1991-04-04,Tahiti,South Korea,,0,0,Gwangju,,,F,,,
,Soeun,Bang Soeun,방소은,소은,2005-12-10,TRI.BE,South Korea,,0,0,,,,F,,,
,Yeso,Lee Yeso,이예소,예소,2001-11-13,G-reyish,South Korea,,0,0,,,,F,,,
,Seline,Jung Yeonjeong,정연정,셀린,2000-06-20,Cignature,South Korea,,0,0,,,,F,,,
,Chiayi,Li Chiayi,지아이,지아이,2000-01-22,FANATICS,Taiwan,,164,0,,FANATICS FLAVOR,,F,,,
,Yeryung,,,예령,2002-06-22,Lusty,South Korea,,169,49,Busan,,,F,Sub Vocal,,
https://dbkpop.com/idol/hyeseong-elris/,Hyeseong,Yang Hyeseon,양혜선,혜성,1999-10-15,ELRIS,South Korea,,0,0,,,,F,,,
,Layeon,Lee Jimin,이지민,라연,1998-08-13,Purplebeck,South Korea,,170,51,,,,F,,,
https://dbkpop.com/idol/yuju/,Yuju,Choi Yuna,최유나,유주,1997-10-04,Gfriend,South Korea,,169,0,Goyang,,,F,,,
,Ahyung,Kang Ahyoung,강아형,아형,1996-08-27,P.O.P,South Korea,,0,0,Pohang,,,F,,,
,Kelly,Lin Kelly,린 켈리,켈리,2002-01-16,TRI.BE,Taiwan,,0,0,Kaohsiung,,,F,,,
https://dbkpop.com/idol/xiyeon-pristin,Xiyeon,Park Junghyun,박정현,시연,2000-11-14,Pristin,South Korea,,164,51,,,,F,,,
https://dbkpop.com/idol/lia-itzy/,Lia,Choi Jisu,최지수,리아,2000-07-21,ITZY,South Korea,,0,0,,,,F,,,
,Miryo,Jo Mihye,조미혜,미료,1981-11-02,Brown Eyed Girls,South Korea,,0,0,,,,F,,https:/www.instagram.com/miryoakajohoney,
,Johyun,Shin Jiwon,신지원,조현,1996-04-14,Berry Good,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/jiae-lovelyz/,Jiae,Yoo Jiae,유지애,지애,1993-05-21,Lovelyz,South Korea,,163,43,Seoul,,,F,,,
,Heejin,Song Heejin,송희진,희진,1995-08-19,Good Day,South Korea,,0,0,Seoul,,,F,,,
https://dbkpop.com/idol/eunha/,Eunha,Jung Eunbi,정은비,은하,1997-05-30,VIVIZ,South Korea,,163,0,Seoul,,Gfriend,F,,,
https://dbkpop.com/idol/ahyoung-dal-shabet/,Ahyoung,Cho Jayoung,조자영,아영,1991-05-26,Dal Shabet,South Korea,,0,0,Seoul,,,F,,,
,Minjae,Shin Minjae,신민재,민재,1991-08-13,Tahiti,South Korea,,0,0,Busan,,,F,,,
,Nicole,Nicole Jung,정니콜,니콜,1991-10-07,,South Korea,USA,0,0,Los Angeles,,KARA,F,,,
https://dbkpop.com/idol/gahyeon-dream-catcher/,Gahyeon,Lee Gahyeon,이가현,가현,1999-02-03,Dreamcatcher,South Korea,,0,0,Seongnam,,,F,,,
,Dia,Choi Eunji,최은지,디아,2001-07-16,Pixy,South Korea,,165,0,,,,F,,,
,Sangah,Yoo Sangah,윤상아,상아,2002-09-04,LIGHTSUM,South Korea,,168,0,,,,F,,,
https://dbkpop.com/idol/soojin-gi-dle/,Soojin,Seo Soojin,서수진,수진,1998-03-09,(G)I-DLE,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/yoojung-weki-meki/,Yoojung,Choi Yoojung,최유정,유정,1999-11-12,Weki Meki,South Korea,,0,0,Guri,"I.O.I, WJMK",,F,,,
https://dbkpop.com/idol/kyla-pristin,Kyla,Kyla Massie,카일라 매시,카일라,2001-12-26,Pristin,USA,South Korea,0,0,California,,,F,,,
https://dbkpop.com/idol/jenny-dia/,Jenny,Lee Soyul,이소율,제니,1996-09-04,,South Korea,,165,47,Seoul,,DIA,F,,,
,Kyujin,Jang Kyujin,장규진,규진,2006-05-26,NMIXX,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/karina-aespa/,Karina,Yoo Jimin,유지민,카리나,2000-04-11,aespa,South Korea,,167,45,Gyeonggi,,,F,,,
https://dbkpop.com/idol/gowon-loona/,Gowon,Park Chaewon,박채원,고원,2000-11-19,LOONA,South Korea,,0,0,,Loona yyxy,,F,,,
,Simyeong,Lee Simyeong,이시명,시명,1999-05-27,BVNDIT,South Korea,,0,0,,,,F,,,
,Seoyul,Seo Yuri,서유리,서율,1997-11-26,Berry Good,South Korea,,163,0,,,,F,,,
https://dbkpop.com/idol/hyewon-izone/,Hyewon,Kang Hyewon,강혜원,혜원,1999-07-05,IZ*ONE,South Korea,,0,0,Yangsan,,,F,,,
,Chaebin,Choi Yoobin,최유빈,채빈,1999-07-28,NATURE,South Korea,,0,0,,,,F,,,
,Yuki,Mori Koyuki,모리 코유키,유키,2002-11-06,Purple Kiss,Japan,,0,0,,,,F,,,
,Lina,Oh Hyesoo,오혜수,리나,1997-05-23,RedSquare,South Korea,,0,0,,,,F,,,
,Heeyu,Choi Heejae,최희재,희유,1995-06-30,MIXX,South Korea,,159,0,,,,F,,,
,Hyangsuk,Lee Hyangsuk,이향숙 ,향숙,1991-04-24,2EYES,South Korea,,165,0,Seoul,,,F,,https:/www.instagram.com/baby_sook,
,Gain,Son Gain,손가인,가인,1987-09-20,Brown Eyed Girls,South Korea,,0,0,,,,F,,https:/www.instagram.com/songain87,
https://dbkpop.com/idol/lucy-weki-meki/,Lucy,Noh Hyojung,노효정,루시,2002-08-31,Weki Meki,South Korea,,0,0,Goyang,,,F,,,
https://dbkpop.com/idol/jin-lovelyz/,JIN,Park Myungeun,박명은,진,1996-06-12,Lovelyz,South Korea,,165,47,Busan,,,F,,,
,Areum,Kim Daun,김다운,아름,1998-01-31,AREAL,South Korea,,0,0,,,Rose Finger,F,,,
https://dbkpop.com/idol/zn-laboum/,ZN,Bae Jinye,배진예,지엔,1994-06-09,LABOUM,South Korea,,169,48,Bucheon,UNI.T,,F,Main Dancer,,
,Juri,Takahashi Juri,타카하시 쥬리,쥬리,1997-10-03,Rocket Punch,Japan,,160,44,,,,F,,,
,Dain,Song Jieun,송지은,다인,1990-06-25,,South Korea,,0,0,,,Wassup,F,,,
https://dbkpop.com/idol/yeeun-wonder-girls/,Yenny,Park Yeeun,박예은,예은 ,1989-05-26,Wonder Girls,South Korea,,165,0,Goyang,,,F,,https:/www.instagram.com/hatfelt,
,Jinny,Park Jinhee,박진희,지니,1998-01-19,SECRET NUMBER,South Korea,USA,0,0,California,,,F,,,
,Ayamy,Suzuki Ayami,스즈키 아야미,아야미,2000-07-15,Bling Bling,Japan,,0,0,,,,F,,,
,Saebyeol,Han Saebyeol,한새별,새별,1996-05-23,Matilda,South Korea,,0,168,,,,F,,,
,Karin,Baek Yerin,백예린,카린,2000-04-23,CRAXY,South Korea,,0,0,,,,F,,,
,Sullyoon,Seol Yoona,설윤아,설윤,2004-01-26,NMIXX,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/soyeon/,Soyeon,Park Soyeon,박소연,소연,1987-10-05,,South Korea,,163,46,Andong,,T-ara,F,,https:/www.instagram.com/melodysoyani,
https://dbkpop.com/idol/shuhua-gi-dle/,Shuhua,Yeh Shuhua,예슈화,슈화,2000-01-06,(G)I-DLE,Taiwan,,161,45,,,,F,,,
https://dbkpop.com/idol/isa-stayc/,Isa,Lee Chaeyoung,이채영,아이사,2002-01-23,STAYC,South Korea,,165,45,Busan,,,F,,,
,Rui,Watanabe Rui,와타나베 루이,루이,1994-10-08,H.U.B,Japan,,0,0,,,N-Bulance,F,,,
,Hyuna,Moon Hyuna,문현아 ,현아 ,1987-01-19,,South Korea,,172,50,Yeosu,,9Muses,F,,https:/www.instagram.com/moongom119,
,Lucy,Kim Daeun,김대은,루시,2004-04-09,woo!ah!,South Korea,,0,0,,,,F,"Rapper, Vocalist",,
,Nahyun,Kang Nahyun,강나현,나현,2002-01-25,HOT ISSUE,South Korea,,0,0,,,,F,,,
,Seea,Kang Eunyoung,강은영,시아,1994-08-21,Pink Fantasy,South Korea,,160,43,,,,F,,,
https://dbkpop.com/idol/sana/,Sana,Minatozaki Sana,미나토자키 사나,사나,1996-12-29,Twice,Japan,,168,0,Osaka,,,F,,,
,Somin,Jang Somin,장소민,소민,1993-11-10,BADKIZ,South Korea,,0,0,Gwangmyeon,,,F,,https:/www.instagram.com/somin.92,
https://dbkpop.com/idol/winter-aespa/,Winter,Kim Minjung,김민정,윈터,2001-01-01,aespa,South Korea,,0,0,Yangsan,,,F,,,
,Minjung,Cha Minjung,차민정,민정,2004-07-15,,South Korea,,0,0,,,Busters,F,,,
https://dbkpop.com/idol/solji-exid/,Solji,Heo Solji,허솔지,솔지,1989-01-10,EXID,South Korea,,170,0,Seongnam,,,F,,https:/www.instagram.com/soul.g_heo,
https://dbkpop.com/idol/yehana-pristin,Yehana,Kim Yewon,김예원,예하나,1999-02-22,Pristin,South Korea,,0,0,Ilsan,,,F,,,
,Bora,Yoon Bora,윤보라 ,보라,1989-12-30,SISTAR,South Korea,,0,0,,SISTAR19,,F,,https:/www.instagram.com/borabora_sugar,
https://dbkpop.com/idol/lee-jaehee-weeekly/,Jaehee,Lee Jaehee,이재희 ,재희 ,2004-03-18,Weeekly,South Korea,,166,0,,,,F,"Rapper, Sub Vocal",,
https://dbkpop.com/idol/arin/,Arin,Choi Yewon,최예원,아린,1999-06-18,Oh My Girl,South Korea,,163,47,Busan,,,F,,,
,Hyebin,Im Hyebin,임혜빈,혜빈,1999-11-10,Highteen,South Korea,,0,0,,,,F,,,
,E.Ji,Choi Jiwon,최지원,이지,2000-11-08,ICHILLIN',South Korea,,0,0,,,,F,,,
,Hanbyul,Kyung Hanbyul,경한별,한별,2005-07-01,PRECIOUS,South Korea,,167,49,Seoul,,,F,,,
https://dbkpop.com/idol/yebin-dia/,Yebin,Baek Yebin,백예빈,예빈,1997-07-13,DIA,South Korea,,164,43,Chuncheon,UNI.T,,F,,,
https://dbkpop.com/idol/junghwa-exid/,Junghwa,Park Junghwa,박정화,정화,1995-05-08,EXID,South Korea,,169,0,Anyang,,EXID,F,,https:/www.instagram.com/jeonghwa_0508,
,Hyoyeon,Kim Hyoyeon,김효연 ,효연 ,1989-09-22,SNSD,South Korea,,158,48,Incheon,,,F,,https:/www.instagram.com/watasiwahyo,
,Hina,,,히나,2003-04-07,LIGHTSUM,Japan,,0,0,,,,F,,,
,Jisun,Hwang Jisun,황지선,지선,1989-10-17,S#aFLA,South Korea,,165,46,,,"Girl's Day, New F.O",F,,,
https://dbkpop.com/idol/hana-secret/,Hana,Jung Hana,정하나,하나,1990-02-02,SECRET,South Korea,,0,0,Uljeongbu,,,F,,,https:/www.twitter.com/supahana
,Semmi,Oh Heesun,오희선,세미,1995-10-22,Matilda,South Korea,,0,165,,,,F,,,
,Lina,Oh Sejin,오세진,리나 ,1997-07-27,ANS,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/yena-april/,Yena,Yang Yena,양예나,예나,2000-05-22,APRIL,South Korea,,0,0,Daegu,,,F,,,
https://dbkpop.com/idol/rose-blackpink/,Rosé,Roseanne Park,로잔느 박,로제,1997-02-11,BLACKPINK,South Korea,,167,0,Auckland,,,F,,,
https://dbkpop.com/idol/jiyeon/,Jiyeon,Park Jiyeon,박지연,지연,1993-06-07,T-ara,South Korea,,167,45,Seoul,,,F,,https:/www.instagram.com/jiyeon2__,
,Hanbyeol,Ahn Hanbyeol,안한별,한별,2003-10-13,,South Korea,,166,44,,,Dreamnote,F,,,
,Green,Kim Jiwon,김지원,지니,1997-07-01,RedSquare,South Korea,,0,0,Daegu,,Good Day,F,Vocalist,,
https://dbkpop.com/idol/chaeyeon-dia/,Chaeyeon,Jung Chaeyeon,정채연,채연,1997-12-01,DIA,South Korea,,165,49,Suncheon,,I.O.I,F,,,
,Bada,Kim Bada,김바다,바다,2002-05-28,Hinapia,South Korea,,162,49,,,,F,,,
https://dbkpop.com/idol/yiren-everglow/,Yiren,Wang Yiren,왕이런,이런,2000-12-29,Everglow,China,,0,0,,,,F,,,
,Geummi,Baek Boram,백보람,금미,1988-06-18,Crayon Pop,South Korea,,165,0,Seoul,,,F,Leader,https:/www.instagram.com/g.mi,
,J,Lee Yeji,이예지,제이,1998-02-12,ANS,South Korea,,0,0,,,,F,,,
,Momoka,Matsuda Momoka,마쓰다 모모카,모모카,2000-12-26,Pink Fantasy,Japan,,152,0,,,,F,,,
https://dbkpop.com/idol/dayoung-wjsn/,Dayoung,Im Dayoung,임다영,다영,1999-05-14,Cosmic Girls,South Korea,,161,0,Jeju,WJSN Chocome,,F,,,
https://dbkpop.com/idol/minah-girls-day/,Minah,Bang Minah,방민아 ,민아,1993-05-13,Girl's Day,South Korea,,165,47,Incheon,,,F,,https:/www.instagram.com/bbang_93,
,Miso,Jeon Jimin,전지민,미소,2000-10-25,Dreamnote,South Korea,,160,43,,,,F,,,
https://dbkpop.com/idol/euijin-sonamoo/,Euijin,Hong Euijin,홍의진,의진,1996-10-08,Sonamoo,South Korea,,168,0,Gwangju,UNI.T,,F,,,https:/www.twitter.com/SONAMOO_EuiJin
,Jeewon,Kim Jiwon,김지원,지원,1999-04-01,Cignature,South Korea,,0,0,Busan,,Good Day,F,,,
,Lee Haein,Lee Haein,이해인,이해인,1992-07-04,I.B.I,South Korea,,165,49,Changwon,,,F,,,
https://dbkpop.com/idol/binnie/,Binnie,Bae Yubin,배유빈,비니,1997-09-09,Oh My Girl,South Korea,,161,49,Chuncheon,,,F,,,
,Haeri,Lee Haeri,이해리,해리,1985-02-14,Davichi,South Korea,,0,0,Seoul,,,F,,,
,Kiara,Baek Jinjoo,백진주,키아라,1998-08-20,,South Korea,,0,0,,,,F,,,
,Yeonha,Ahn Yeonji,안연지,연하,2000-05-19,P.O.P,South Korea,,0,0,Yeondong,,,F,,,
,Yebin,Kim Yebin,김예빈,예빈,2004-11-01,HOT ISSUE,South Korea,,0,0,,,,F,,,
,Juhyun,Cha Juhyun,차주현,주현,2000-04-01,Bling Bling,South Korea,,0,0,,,,F,,,
,Min,Lee Minyoung,이민영,민,1991-06-21,miss A,South Korea,,161,0,Seoul,,,F,,https:/www.instagram.com/therealminnn,
,Sohee,Uhm Sohee,음소희,소희,2004-01-01,ICHILLIN',South Korea,,0,0,,,,F,,,
,Miku,Katae Miku,카타에 미쿠,미쿠,2002-10-09,Pink Fantasy,Japan,,0,0,,,,F,,,
https://dbkpop.com/idol/hyebin-momoland/,Hyebin,Lee Hyebin,이혜빈,혜빈,1996-01-12,MOMOLAND,South Korea,,165,44,Andong,,,F,,,
https://dbkpop.com/idol/yeonwoo-momoland/,Yeonwoo,Lee Dabin,이다빈,연우,1996-08-01,,South Korea,,170,49,Seoul,,MOMOLAND,F,,,
,Ara,Lee Yunji,이윤지,아라,2002-01-23,ILY:1,South Korea,,158,0,,,,F,,,
,Jisook,Kim Jisook,김지숙,지숙,1990-07-18,Rainbow,South Korea,,164,41,Suwon,Rainbow Pixie,,F,,,
https://dbkpop.com/idol/heejin-loona/,Heejin,Jeon Heejin,전희진,희진,2000-10-19,LOONA,South Korea,,0,0,Seongnam,Loona 1/3,,F,,,
,Gaeul,Park Gaeul,박가을,가을,1999-05-08,Favorite,South Korea,,164,48,Seoul,,,F,,,
,Yeori,Choi Yeori,최여리,여리,1999-09-08,ARIAZ,South Korea,,0,0,,,,F,,,
,Hyunseo,Go Hyunseo,고현서,현서,1999-06-17,,South Korea,,0,0,,,G-reyish,F,,,
,Eun,Choi Eunmi,최은미,은,1990-05-14,Two X,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/saerom-fromis-9/,Saerom,Lee Saerom,이새롬,새롬,1997-01-07,fromis_9,South Korea,,0,0,Gangwon,,,F,,,
,Chaewon,Lee Chaewon,이채원,채원,2000-03-18,Maka Maka,South Korea,,0,0,,,,F,,,
